apk: rafeeq_app/build/app/outputs/flutter-apk/app-release.apk

android                width   installs  alive    problems
android16(api36)       320     yes       yes      blank: home,quran
android16(api36)       360     yes       yes      -
android16(api36)       411     yes       yes      -
android16(api36)       800     yes       yes      -
android7.0(api24)      320     yes       yes      blank: home,quran
android7.0(api24)      360     yes       yes      -
android7.0(api24)      411     yes       yes      -
android7.0(api24)      800     yes       yes      blank: quran
android9(api28)        320     yes       yes      -
android9(api28)        360     yes       yes      -
android9(api28)        411     yes       yes      -
android9(api28)        800     yes       yes      -

screenshots under E:\My Projects\Rafiq-Al-Darb\scripts\compat_out
